ObjectID,Department,ObjectNumber,PrimaryDisplay,Image File Name,Rank,URL
134,American Decorative Arts,1972.187.1,0,DP266740.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP266740.jpg
134,American Decorative Arts,1972.187.1,0,DP266742.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP266742.jpg
134,American Decorative Arts,1972.187.1,0,ADA3682.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3682.jpg
134,American Decorative Arts,1972.187.1,0,ADA3683.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3683.jpg
134,American Decorative Arts,1972.187.1,0,ADA3662.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3662.jpg
134,American Decorative Arts,1972.187.1,0,ADA3663.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3663.jpg
134,American Decorative Arts,1972.187.1,0,ADA3664.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3664.jpg
134,American Decorative Arts,1972.187.1,0,ADA3665.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3665.jpg
139,American Decorative Arts,67.262.6,1,ADA3642.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3642.jpg
139,American Decorative Arts,67.262.6,0,192971.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/192971.jpg
139,American Decorative Arts,67.262.6,0,188796.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/188796.jpg
140,American Decorative Arts,1983.355,1,Argand lamp 1983.355.jpg,0,https://images.metmuseum.org/CRDImages/ad/original/Argand lamp 1983.355.jpg
143,American Decorative Arts,10.125.189,1,11954.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/11954.jpg
145,American Decorative Arts,10.125.204,1,118611.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/118611.jpg
146,American Decorative Arts,10.125.207,0,11744.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/11744.jpg
146,American Decorative Arts,10.125.207,1,85B_ACF105R8.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF105R8.jpg
146,American Decorative Arts,10.125.207,0,118612.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/118612.jpg
147,American Decorative Arts,10.125.219,0,85C_ACF129R7.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85C_ACF129R7.jpg
147,American Decorative Arts,10.125.219,0,12033.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/12033.jpg
147,American Decorative Arts,10.125.219,1,DT241037.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DT241037.jpg
148,American Decorative Arts,10.125.228,1,85W_ACF3137R3.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85W_ACF3137R3.jpg
148,American Decorative Arts,10.125.228,0,11900.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/11900.jpg
150,American Paintings and Sculpture,50.130.149u recto,1,189244.jpg,61,https://images.metmuseum.org/CRDImages/ap/original/189244.jpg
151,American Decorative Arts,10.125.235,1,85B_ACF110R13.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF110R13.jpg
151,American Decorative Arts,10.125.235,0,12038.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/12038.jpg
151,American Decorative Arts,10.125.235,0,115300.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/115300.jpg
154,American Decorative Arts,10.125.241,1,85C_ACF115R7.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85C_ACF115R7.jpg
154,American Decorative Arts,10.125.241,0,113821.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/113821.jpg
166,American Decorative Arts,10.125.279,1,118643.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/118643.jpg
170,American Decorative Arts,10.125.666 L,0,208579.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/208579.jpg
170,American Decorative Arts,10.125.666 L,0,208547.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/208547.jpg
170,American Decorative Arts,10.125.666 L,1,11638.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/11638.jpg
171,American Decorative Arts,10.125.674,1,11897.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/11897.jpg
171,American Decorative Arts,10.125.674,0,ADA3722.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3722.jpg
172,American Decorative Arts,10.125.676,1,85B_ACF113R9.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF113R9.jpg
